state,state_po,state_fips,democratic_pct_ave_1976_2024,candidatevotes_1976,democratic_pct_1976,candidatevotes_1980,democratic_pct_1980,candidatevotes_1984,democratic_pct_1984,candidatevotes_1988,democratic_pct_1988,candidatevotes_1992,democratic_pct_1992,candidatevotes_1996,democratic_pct_1996,candidatevotes_2000,democratic_pct_2000,candidatevotes_2004,democratic_pct_2004,candidatevotes_2008,democratic_pct_2008,candidatevotes_2012,democratic_pct_2012,candidatevotes_2016,democratic_pct_2016,candidatevotes_2020,democratic_pct_2020,candidatevotes_2024,democratic_pct_2024
RHODE ISLAND,RI,44,59.8,227636,55.7,198342,56.2,197106,48.2,225123,55.9,213299,61.8,233050,69,249508,65.6,259760,60.6,296571,64.2,279677,64,252525,58.3,307486,60.6,285156,57.1
SOUTH CAROLINA,SC,45,44.2,450807,56.6,428220,49.4,344459,35.9,370554,37.9,525514,47.6,506152,46.9,566037,41.8,661669,41.4,862449,45.5,865941,44.7,855373,42.5,1091541,44.1,1028452,40.9
SOUTH DAKOTA,SD,46,41,147068,49.3,103855,34.4,116113,36.7,145560,46.8,124888,47.7,139333,48.1,118804,38.4,149244,39.1,170924,45.7,145039,40.8,117458,34,150471,36.6,146859,35.1
TENNESSEE,TN,47,44.3,825879,56.6,783051,49.9,711714,41.8,679794,41.8,933521,52.6,909146,51.3,981720,48,1036477,42.8,1087437,42.4,960709,39.6,870695,36.4,1143711,38.2,1056265,34.9
TEXAS,TX,48,43.7,2082319,51.6,1881147,42.8,1949276,36.2,2352748,43.7,2281815,47.8,2459683,47.3,2433746,39,2832704,38.5,3528633,44.1,3308124,42,3877868,45.3,5259126,47.2,4835250,43.1
UTAH,UT,49,32.3,182110,35,124266,22,155369,24.9,207343,32.6,183429,36.2,221633,38,203053,28.3,241199,26.7,327670,35.5,251813,25.4,310674,37.6,560282,39.3,562566,38.9
VERMONT,VT,50,58.1,77798,43.7,81952,46.4,95730,41.3,115775,48.2,133592,60.3,137894,63.2,149022,55.4,184067,60.3,219262,68.9,199239,68.2,178573,65.2,242820,68.3,235791,66.4
VIRGINIA,VA,51,48,813896,49.3,752174,43.2,796250,37.3,859799,39.6,1038650,47.4,1091060,48.9,1217290,45.9,1454742,45.9,1959532,53.2,1971820,52,1981473,52.8,2413568,55.2,2333778,52.9
WASHINGTON,WA,53,53.9,717323,48,650193,42.9,798352,43.2,933516,50.8,993037,57.6,1123323,57.2,1247652,52.9,1510201,53.6,1750848,58.8,1755396,57.6,1742718,58.8,2369612,59.9,2245849,59.5
WEST VIRGINIA,WV,54,44.6,435864,58.1,367462,52.4,328125,44.7,341016,52.4,331001,57.8,327812,58.4,295497,46.8,326541,43.5,303857,43.3,238269,36.3,188794,27.8,235984,30.2,214309,28.7
WISCONSIN,WI,55,51.1,1040232,50.9,981584,47.4,995740,45.4,1126794,51.8,1041066,52.8,1071971,55.9,1242987,50.1,1489504,50.2,1677211,57.1,1620985,53.5,1382536,49.6,1630866,50.3,1668229,49.6
WYOMING,WY,56,32.8,62239,40.2,49427,30.9,53370,28.6,67113,38.6,68160,46.2,77934,42.5,60481,29,70776,29.7,82868,33.4,69286,28.8,55973,24.3,73491,27.5,69527,26.5
