year,state,state_po,state_fips,candidatevotes,democratic_pct,democratic_pct_ave_1976_2024
2008,FLORIDA,FL,12,4282074,51.4,46.9
2008,GEORGIA,GA,13,1844123,47.4,48.4
2008,HAWAII,HI,15,325871,73.0,59.7
2008,IDAHO,ID,16,236440,37.0,33.6
2008,ILLINOIS,IL,17,3419348,62.7,54.7
2008,INDIANA,IN,18,1374039,50.5,42.8
2008,IOWA,IA,19,828940,54.8,49.6
2008,KANSAS,KS,20,514765,42.4,40.5
2008,KENTUCKY,KY,21,751985,41.8,42.9
2008,LOUISIANA,LA,22,782989,40.5,44.8
2008,MAINE,ME,23,421923,58.8,52.6
2008,MARYLAND,MD,24,1629467,62.9,58.0
2008,MASSACHUSETTS,MA,25,1904097,63.2,60.7
2008,MICHIGAN,MI,26,2872579,58.4,50.8
2008,MINNESOTA,MN,27,1573354,55.2,53.7
2008,MISSISSIPPI,MS,28,554662,43.4,43.1
2008,MISSOURI,MO,29,1441911,49.9,46.9
2008,MONTANA,MT,30,231667,48.8,42.8
2008,NEBRASKA,NE,31,333319,42.4,36.9
2008,NEVADA,NV,32,533736,56.4,46.9
2008,NEW HAMPSHIRE,NH,33,384826,54.9,47.3
2008,NEW JERSEY,NJ,34,2215422,57.9,52.5
2008,NEW MEXICO,NM,35,472422,57.7,50.8
2008,NEW YORK,NY,36,4804945,63.6,58.0
2008,NORTH CAROLINA,NC,37,2142651,50.2,47.2
2008,NORTH DAKOTA,ND,38,141278,45.6,37.9
2008,OHIO,OH,39,2940044,52.3,47.8
2008,OKLAHOMA,OK,40,502496,34.4,37.4
2008,OREGON,OR,41,1037291,58.4,53.1
2008,PENNSYLVANIA,PA,42,3276363,55.2,51.1
2008,RHODE ISLAND,RI,44,296571,64.2,59.8
2008,SOUTH CAROLINA,SC,45,862449,45.5,44.2
2008,SOUTH DAKOTA,SD,46,170924,45.7,41.0
2008,TENNESSEE,TN,47,1087437,42.4,44.3
2008,TEXAS,TX,48,3528633,44.1,43.7
2008,UTAH,UT,49,327670,35.5,32.3
2008,VERMONT,VT,50,219262,68.9,58.1
2008,VIRGINIA,VA,51,1959532,53.2,48.0
2008,WASHINGTON,WA,53,1750848,58.8,53.9
2008,WEST VIRGINIA,WV,54,303857,43.3,44.6
2008,WISCONSIN,WI,55,1677211,57.1,51.1
2008,WYOMING,WY,56,82868,33.4,32.8
2004,ALABAMA,AL,1,693933,37.1,41.7
2004,ALASKA,AK,2,111025,36.8,38.7
2004,ARIZONA,AZ,4,893524,44.7,44.1
2004,ARKANSAS,AR,5,469953,45.1,45.5
2004,CALIFORNIA,CA,6,6745485,55.0,55.5
2004,COLORADO,CO,8,1001732,47.6,48.4
2004,CONNECTICUT,CT,9,857488,55.3,54.0
2004,DELAWARE,DE,10,200152,53.8,54.2
2004,DISTRICT OF COLUMBIA,DC,11,202970,90.5,90.0
2004,FLORIDA,FL,12,3583544,47.5,46.9
